ID,bedrooms,bathrooms,living_space,address,city,state,zipcode,latitude,longitude,property_url,price
11,3,2,1281.0,"2071 Venice Dr #296, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.928127,-120.012535,https://www.zillow.com/homedetails/2071-Venice-Dr-296-South-Lake-Tahoe-CA-96150/18571277_zpid/,810000.0
12,5,5,3154.0,"1180 Herbert Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.940872,-119.96092,https://www.zillow.com/homedetails/1180-Herbert-Ave-South-Lake-Tahoe-CA-96150/83903318_zpid/,999000.0
13,3,2,1196.0,"803 Michael Dr, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.92576,-119.99942,https://www.zillow.com/homedetails/803-Michael-Dr-South-Lake-Tahoe-CA-96150/111912809_zpid/,739000.0
14,10,6,4084.0,"1309 Peninsula Rd, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.938957,-119.95651,https://www.zillow.com/homedetails/1309-Peninsula-Rd-South-Lake-Tahoe-CA-96150/195369008_zpid/,1099000.0
15,2,1,838.0,"3739 Pioneer Trl, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.94686,-119.94975,https://www.zillow.com/homedetails/3739-Pioneer-Trl-South-Lake-Tahoe-CA-96150/18577454_zpid/,450000.0
16,2,1,1000.0,"894 Lapham Dr, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.918987,-120.00637,https://www.zillow.com/homedetails/894-Lapham-Dr-South-Lake-Tahoe-CA-96150/18573861_zpid/,539900.0
17,3,2,1150.0,"2525 Armstrong Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.92249,-119.98452,https://www.zillow.com/homedetails/2525-Armstrong-Ave-South-Lake-Tahoe-CA-96150/18579759_zpid/,399000.0
18,3,3,1958.0,"2265 Sierra House Trl, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.899574,-119.9579,https://www.zillow.com/homedetails/2265-Sierra-House-Trl-South-Lake-Tahoe-CA-96150/18575587_zpid/,875000.0
19,3,2,1940.0,"3535 Lake Tahoe Blvd #623, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.947872,-119.9615,https://www.zillow.com/homedetails/3535-Lake-Tahoe-Blvd-623-South-Lake-Tahoe-CA-96150/18578173_zpid/,2995000.0
20,3,2,1274.0,"912 Council Rock Dr, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.9208,-119.999886,https://www.zillow.com/homedetails/912-Council-Rock-Dr-South-Lake-Tahoe-CA-96150/18573328_zpid/,630000.0
21,4,3,3436.0,"2556 Palmira Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.924927,-119.9853,https://www.zillow.com/homedetails/2556-Palmira-Ave-South-Lake-Tahoe-CA-96150/18579589_zpid/,989999.0
22,2,1,1040.0,"2234 Barton Ave, South Lake Tahoe, CA 96150",South Lake Tahoe,CA,96150,38.91762,-119.99589,https://www.zillow.com/homedetails/2234-Barton-Ave-South-Lake-Tahoe-CA-96150/18572292_zpid/,559900.0
